序号,作物名称,种质名称,科名,属名,种名或亚种名,原产地,原产省,原产国,来源地,资源类型,主要特性,生育周期,系谱,选育单位,育成年份,海拔,经度,纬度,鉴定试验地点,土壤类型,生态系统类型,年均温度,年均降雨量,图像,抗旱性鉴定结果,保存单位,库编号,圃编号,引种号,采集号,保存资源类型,保存方式,实物状态,共享方式,获取途径
YAAS0619,油菜,2007M011,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0620,油菜,2007M012,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0621,油菜,2007M013,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0622,油菜,2007M014,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0623,油菜,2007M015,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0624,油菜,2007M016,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0625,油菜,2007M017,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0626,油菜,2007M018,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0627,油菜,2007M019,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0628,油菜,2007M020,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0629,油菜,2007M021,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0630,油菜,2007M022,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0631,油菜,2007M023,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0632,油菜,2007M024,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0633,油菜,2007M025,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0634,油菜,2007M026,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0635,油菜,2007M027,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0636,油菜,2007M028,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0637,油菜,2007M029,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0638,油菜,2007M030,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0639,油菜,2007M031,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0640,油菜,2007M032,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0641,油菜,2007M033,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0642,油菜,2007M034,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0643,油菜,2007M035,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0644,油菜,2007M036,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0645,油菜,2007M037,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0646,油菜,2007M038,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0647,油菜,2007M039,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0648,油菜,2007M040,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0649,油菜,2007M041,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0650,油菜,2007M042,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0651,油菜,2007M043,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0652,油菜,2007M044,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0653,油菜,2007M045,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0654,油菜,2007M046,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0655,油菜,2007M047,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0656,油菜,2007M048,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0657,油菜,2007M049,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0658,油菜,2007M050,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0659,油菜,2007M051,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0660,油菜,2007M052,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0661,油菜,2007M053,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0662,油菜,2007M054,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0663,油菜,2007M055,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0664,油菜,2007M056,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0665,油菜,2007M057,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0666,油菜,2007M058,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0667,油菜,2011H1,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0668,油菜,2011H2,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0669,油菜,2011H3,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0670,油菜,2011H4,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0671,油菜,2011H5,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0672,油菜,2011H6,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0673,油菜,2011H7,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0674,油菜,2011H8,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0675,油菜,2011H9,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0676,油菜,2011H10,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0677,油菜,2011H11,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0678,油菜,2011H12,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0679,油菜,2011H13,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0680,油菜,2011H14,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0681,油菜,2011H15,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0682,油菜,2011H16,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0683,油菜,2011H17,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0684,油菜,2011H18,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0685,油菜,2011H19,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0686,油菜,2011H20,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0687,油菜,2011H21,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0688,油菜,2011H22,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0689,油菜,2011H23,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0690,油菜,2011H24,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0691,油菜,2011H25,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0692,油菜,2011H26,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0693,油菜,2011H27,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0694,油菜,2011H28,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0695,油菜,2011H29,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0696,油菜,2011H30,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0697,油菜,2011H31,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0698,油菜,2011H32,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0699,油菜,2011H33,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0700,油菜,2011H34,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0701,油菜,2011H35,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0702,油菜,2011H36,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0703,油菜,2011H37,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0704,油菜,2011H38,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0705,油菜,2011H39,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0706,油菜,2011H40,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0707,油菜,2011H41,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0708,油菜,2011H42,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0709,油菜,2011H43,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期极强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0710,油菜,2011H44,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期弱,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0711,油菜,2011H45,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0712,油菜,2011H46,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期强,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
YAAS0713,油菜,2011H47,Cruciferae(十字花科),Brassica（芸薹属）,Brassica napus （甘蓝型油菜）,昆明,云南,中国,云南,品系,,1年生,,,,,,,云南,砂壤,旱地,,,,全生育期中等,云南省农业科学院经济作物研究所,,,,,种子,库,好,合作研究,现场获取
